id,other_social_response,fb_minutes,other_social_minutes,sum_social_minutes
18609,Between 1 and 2 hours,160,90,250
169,More than 3 hours,110,180,290
1354,Between 1 and 2 hours,120,90,210
2876,More than 3 hours,40,180,220
10262,Between 1 and 2 hours,30,90,120
1691,Between 1 and 30 minutes,300,15,315
16625,Between 1 and 2 hours,100,90,190
23612,Between 2 and 3 hours,120,150,270
12713,Between 2 and 3 hours,200,150,350
1246,Between 2 and 3 hours,130,150,280
18525,0 minutes,120,0,120
2049,Between 2 and 3 hours,180,150,330
2717,Between 1 and 2 hours,60,90,150
841,Between 1 and 2 hours,90,90,180
129,Between 1 and 30 minutes,50,15,65
14284,Between 31 minutes and 1 hour,400,45,445
2410,More than 3 hours,180,180,360
2472,Between 1 and 2 hours,30,90,120
163,0 minutes,250,0,250
10543,Between 1 and 2 hours,60,90,150
21368,More than 3 hours,180,180,360
16240,Between 1 and 30 minutes,30,15,45
856,Between 1 and 30 minutes,45,15,60
13564,Between 1 and 2 hours,45,90,135
1089,Between 1 and 2 hours,180,90,270
3065,More than 3 hours,120,180,300
16222,Between 1 and 2 hours,75,90,165
146,Between 2 and 3 hours,90,150,240
2237,0 minutes,230,0,230
24211,More than 3 hours,30,180,210
22719,Between 2 and 3 hours,45,150,195
18627,Between 1 and 30 minutes,45,15,60
2964,Between 2 and 3 hours,120,150,270
2518,Between 1 and 30 minutes,30,15,45
2240,More than 3 hours,90,180,270
12453,Between 31 minutes and 1 hour,40,45,85
19503,Between 31 minutes and 1 hour,30,45,75
826,More than 3 hours,60,180,240
2779,Between 2 and 3 hours,60,150,210
19526,Between 1 and 2 hours,90,90,180
22246,More than 3 hours,60,180,240
22034,More than 3 hours,120,180,300
17132,More than 3 hours,30,180,210
481,Between 2 and 3 hours,120,150,270
9889,Between 1 and 2 hours,90,90,180
22564,Between 2 and 3 hours,90,150,240
2191,Between 2 and 3 hours,240,150,390
14404,More than 3 hours,90,180,270
16,0 minutes,360,0,360
9813,0 minutes,60,0,60
119,Between 31 minutes and 1 hour,200,45,245
21625,Between 31 minutes and 1 hour,500,45,545
2081,Between 2 and 3 hours,100,150,250
11901,Between 2 and 3 hours,120,150,270
442,More than 3 hours,60,180,240
2371,Between 1 and 2 hours,90,90,180
11463,More than 3 hours,75,180,255
